"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","紫外線指數","總雲量_衛星(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","UVI","Cloud Amount Sat"
"01","1014.5","1018.1","17.4","15.6","89","1.6","120","5.1","120","0.0","0.0","--","0.00","0","10.0"
"02","1013.9","1017.5","17.8","15.6","87","2.5","120","5.1","110","0.0","0.0","--","0.00","0","10.0"
"03","1013.4","1017.0","17.9","15.9","88","1.9","130","4.8","110","0.0","0.0","--","0.00","0","9.0"
"04","1013.1","1016.7","17.7","15.9","89","1.7","140","4.0","140","0.0","0.0","--","0.00","0","8.0"
"05","1013.3","1016.9","17.7","15.9","89","1.3","140","3.3","120","0.0","0.0","--","0.00","0","9.0"
"06","1013.5","1017.1","17.6","16.1","91","1.4","140","2.6","130","T","0.1","0.0","0.00","0","8.0"
"07","1014.2","1017.8","18.2","15.5","84","1.9","100","5.5","100","0.0","0.0","0.0","0.01","0","10.0"
"08","1014.8","1018.4","18.7","14.6","77","1.5","100","5.0","80","0.0","0.0","0.0","0.17","0","10.0"
"09","1015.1","1018.7","19.6","14.0","70","2.6","110","6.5","90","0.0","0.0","0.0","0.54","1","10.0"
"10","1014.9","1018.5","20.9","14.8","68","3.6","120","7.3","120","0.0","0.0","0.6","1.45","2","9.0"
"11","1013.8","1017.4","22.0","14.4","62","3.3","110","8.8","130","0.0","0.0","0.4","1.69","4","10.0"
"12","1012.5","1016.1","21.8","13.7","60","3.8","120","11.4","120","0.0","0.0","0.6","2.00","5","10.0"
"13","1011.6","1015.2","22.5","14.9","62","3.3","120","10.1","90","0.0","0.0","0.2","1.61","4","9.0"
"14","1010.9","1014.4","22.5","15.4","64","3.2","110","10.1","120","0.0","0.0","0.6","1.87","4","9.0"
"15","1010.8","1014.3","22.8","15.2","62","4.2","120","9.8","90","0.0","0.0","0.9","1.66","2","8.0"
"16","1011.1","1014.7","22.1","15.5","66","3.3","110","9.5","100","0.0","0.0","0.6","0.84","1","8.0"
"17","1011.2","1014.8","21.8","15.7","68","2.5","120","8.4","110","0.0","0.0","0.9","0.43","0","9.0"
"18","1011.4","1015.0","21.1","16.1","73","2.5","120","7.9","120","0.0","0.0","0.1","0.01","0","8.0"
"19","1011.8","1015.4","21.1","16.3","74","3.0","100","6.5","120","0.0","0.0","0.0","0.00","0","9.0"
"20","1012.1","1015.7","20.7","16.5","77","2.1","100","6.6","90","0.0","0.0","--","0.00","0","9.0"
"21","1012.1","1015.7","20.6","16.6","78","2.9","130","6.1","90","0.0","0.0","--","0.00","0","9.0"
"22","1011.8","1015.4","20.5","16.7","79","1.8","100","6.1","90","0.0","0.0","--","0.00","0","9.0"
"23","1011.3","1014.9","20.5","16.7","79","2.1","110","6.4","80","0.0","0.0","--","0.00","0","10.0"
"24","1010.8","1014.4","20.5","16.7","79","2.8","100","6.5","80","0.0","0.0","--","0.00","0","9.0"
