"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度_自動(km)","紫外線指數","總雲量_衛星(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","VisbMean Auto","UVI","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1016.9","1020.5","16.0","10.8","71","2.5","113","6.3","121","0.0","0.0","0.0","0.00","34.5","0","2.0","/","/","/","/","/","/","/"
"02","1016.8","1020.4","16.1","10.9","71","2.7","103","7.0","87","0.0","0.0","0.0","0.00","34.8","0","2.0","/","/","/","/","/","/","/"
"03","1016.7","1020.3","16.1","10.6","70","2.5","102","8.3","86","0.0","0.0","0.0","0.00","35.5","0","2.0","/","/","/","/","/","/","/"
"04","1016.3","1019.9","16.1","10.4","69","3.0","98","7.4","85","0.0","0.0","0.0","0.00","36.7","0","2.0","/","/","/","/","/","/","/"
"05","1016.4","1020.0","16.0","10.1","68","4.0","98","8.9","102","0.0","0.0","0.0","0.00","38.0","0","2.0","/","/","/","/","/","/","/"
"06","1016.5","1020.1","16.1","10.2","68","3.2","101","8.5","76","0.0","0.0","0.0","0.00","39.0","0","2.0","/","/","/","/","/","/","/"
"07","1016.7","1020.3","16.3","10.2","67","3.5","98","7.9","67","0.0","0.0","0.0","0.01","38.5","0","2.0","/","/","/","/","/","/","/"
"08","1016.7","1020.3","17.2","10.6","65","3.8","97","8.5","90","0.0","0.0","1.0","0.39","37.2","0","2.0","/","/","/","/","/","/","/"
"09","1016.8","1020.4","19.3","11.1","59","3.3","95","7.9","87","0.0","0.0","1.0","1.11","37.0","1","1.0","/","/","/","/","/","/","/"
"10","1016.4","1020.0","21.2","11.8","55","3.5","98","9.3","107","0.0","0.0","1.0","1.80","42.0","3","0.0","/","/","/","/","/","/","/"
"11","1015.8","1019.4","22.0","11.1","50","5.0","104","12.9","99","0.0","0.0","1.0","2.30","47.1","4","0.0","/","/","/","/","/","/","/"
"12","1014.5","1018.1","22.2","11.0","49","3.8","123","10.8","83","0.0","0.0","1.0","2.59","50.6","6","0.0","/","/","/","/","/","/","/"
"13","1013.3","1016.9","22.6","11.4","49","4.6","133","11.6","126","0.0","0.0","1.0","2.62","50.2","6","1.0","/","/","/","/","/","/","/"
"14","1012.8","1016.3","23.0","11.7","49","4.8","127","12.7","102","0.0","0.0","1.0","2.36","50.1","5","1.0","/","/","/","/","/","/","/"
"15","1012.5","1016.1","22.7","12.1","51","4.6","130","12.4","109","0.0","0.0","1.0","1.87","49.3","3","2.0","/","/","/","/","/","/","/"
"16","1012.8","1016.4","21.7","11.7","53","4.1","122","10.0","136","0.0","0.0","1.0","1.19","47.4","1","2.0","/","/","/","/","/","/","/"
"17","1013.2","1016.8","21.0","11.9","56","4.6","127","10.4","123","0.0","0.0","1.0","0.45","46.6","0","4.0","/","/","/","/","/","/","/"
"18","1013.7","1017.3","20.5","12.0","58","3.4","122","10.1","96","0.0","0.0","0.1","0.02","47.1","0","4.0","/","/","/","/","/","/","/"
"19","1014.4","1018.0","20.2","12.0","59","2.7","110","7.7","114","0.0","0.0","0.0","0.00","46.2","0","3.0","/","/","/","/","/","/","/"
"20","1014.8","1018.4","19.8","11.8","60","2.4","102","7.0","83","0.0","0.0","0.0","0.00","46.8","0","2.0","/","/","/","/","/","/","/"
"21","1014.8","1018.4","19.4","12.0","62","2.2","92","6.0","89","0.0","0.0","0.0","0.00","45.0","0","1.0","/","/","/","/","/","/","/"
"22","1015.0","1018.6","19.3","11.9","62","1.7","101","7.4","88","0.0","0.0","0.0","0.00","47.2","0","1.0","/","/","/","/","/","/","/"
"23","1015.0","1018.6","18.9","11.7","63","1.6","100","4.3","99","0.0","0.0","0.0","0.00","49.3","0","2.0","/","/","/","/","/","/","/"
"24","1014.7","1018.3","19.0","11.6","62","1.7","105","5.1","92","0.0","0.0","0.0","0.00","51.0","0","3.0","/","/","/","/","/","/","/"
