"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1006.4","17.5","88","0.7","96","2.7","98","0.0"
"02","1006.2","17.6","89","0.2","0","3.0","69","0.0"
"03","1005.8","17.6","88","0.0","0","2.2","97","0.0"
"04","1005.5","17.5","90","0.3","68","2.7","72","0.0"
"05","1005.8","17.5","89","0.0","0","1.9","36","0.0"
"06","1006.0","17.6","90","0.0","0","1.3","164","0.0"
"07","1006.5","17.5","90","0.0","0","1.9","184","0.0"
"08","1007.1","17.5","88","0.0","0","1.6","126","0.0"
"09","1007.7","17.7","87","0.0","0","1.3","180","0.5"
"10","1007.6","17.5","89","0.1","0","1.9","9","0.5"
"11","1006.9","17.3","91","0.6","260","2.7","239","1.5"
"12","1006.1","17.2","92","0.2","0","3.0","214","2.0"
"13","1005.8","17.4","92","0.5","188","3.5","163","3.5"
"14","1005.2","17.6","92","1.1","86","3.5","110","1.5"
"15","1004.9","17.9","88","0.2","0","3.5","112","0.0"
"16","1005.1","17.9","86","0.8","85","3.8","66","0.0"
"17","1005.6","18.0","88","0.2","0","3.5","124","0.0"
"18","1006.0","17.6","90","0.7","70","3.0","95","0.5"
"19","1006.4","17.3","90","1.5","87","5.5","98","0.0"
"20","1007.0","17.2","91","1.3","84","6.0","44","0.5"
"21","1007.3","17.2","91","1.4","87","5.5","82","0.5"
"22","1007.4","17.0","91","0.5","81","4.9","107","0.5"
"23","1007.4","16.9","91","0.8","74","3.5","86","1.0"
"24","1007.2","16.6","90","1.2","77","4.9","77","0.5"
