"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1017.2","19.0","91","1.1","136","3.5","127","0.0"
"02","1016.6","18.4","90","1.6","105","3.3","117","0.0"
"03","1016.5","18.2","88","0.8","125","4.1","108","0.0"
"04","1016.2","18.4","85","0.8","83","2.7","124","0.0"
"05","1016.5","18.6","85","0.1","0","2.4","97","0.0"
"06","--","--","--","--","--","2.4","107","0.0"
"07","1017.7","18.9","83","1.4","133","3.5","116","0.0"
"08","1018.3","19.0","83","1.6","125","4.9","123","0.0"
"09","1018.6","19.5","78","2.7","129","5.5","137","0.0"
"10","1018.5","20.9","71","2.2","80","8.2","84","0.0"
"11","--","--","--","--","--","9.9","90","0.0"
"12","1017.0","20.9","71","3.1","90","8.2","76","0.0"
"13","1016.0","21.2","69","2.1","90","8.8","58","0.0"
"14","1015.5","21.4","68","3.0","85","9.3","137","0.0"
"15","1015.0","21.6","69","2.3","83","10.4","77","0.0"
"16","1015.2","21.2","71","3.0","105","11.0","81","0.0"
"17","1015.2","20.9","74","2.4","115","7.1","116","0.0"
"18","1015.6","20.6","77","2.2","118","7.1","117","0.0"
"19","1016.2","20.6","77","3.2","119","7.1","108","0.0"
"20","1016.3","20.6","77","2.7","118","6.0","130","0.0"
"21","1016.4","20.7","77","3.1","115","6.6","103","0.0"
"22","1016.3","20.7","77","3.0","124","6.6","125","0.0"
"23","1016.2","21.0","76","2.4","109","7.1","139","0.0"
"24","1015.7","20.8","77","1.9","110","6.6","61","0.0"
