"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1009.7","18.4","92","0.0","0","0.0","0","0.0"
"02","1009.4","18.5","93","0.0","0","0.8","343","0.0"
"03","1009.3","17.8","93","0.0","0","0.0","0","0.0"
"04","1009.0","18.1","94","0.2","0","1.3","139","&"
"05","1009.0","18.4","94","0.0","0","1.3","77","0.0"
"06","1008.9","18.3","94","0.3","109","1.6","99","0.0"
"07","1009.0","18.5","94","0.8","115","3.3","126","0.0"
"08","1008.9","20.5","90","1.7","102","4.1","100","0.0"
"09","1009.1","22.7","82","4.2","56","7.7","71","0.0"
"10","--","--","--","--","--","10.4","35","0.0"
"11","1008.7","23.4","73","4.8","51","10.4","44","0.0"
"12","--","--","--","--","--","9.9","57","0.0"
"13","1006.9","23.2","74","5.1","52","11.5","33","0.0"
"14","1006.2","23.6","72","4.9","56","11.0","55","0.0"
"15","1005.8","23.3","71","3.7","70","11.0","34","0.0"
"16","1006.3","23.4","71","4.1","92","8.2","50","0.0"
"17","1007.1","22.2","77","4.0","63","8.8","79","0.0"
"18","1007.6","21.7","78","4.2","73","9.9","81","0.0"
"19","1008.3","21.5","77","4.1","70","8.8","52","0.0"
"20","1008.5","21.4","77","2.3","72","9.3","89","0.0"
"21","1008.6","21.2","79","2.8","62","6.0","69","0.0"
"22","1008.7","21.1","79","2.8","80","7.1","99","0.0"
"23","1008.6","20.7","81","2.2","73","5.5","66","0.0"
"24","1008.6","20.4","83","1.5","95","6.0","80","0.0"
