"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1021.3","16.8","59","1.9","62","7.9","109","0.0"
"02","1020.9","16.8","60","2.0","63","6.3","77","0.0"
"03","1020.5","16.9","60","1.9","61","6.8","81","0.0"
"04","1020.4","16.9","60","2.3","64","6.6","65","0.0"
"05","1020.7","16.9","63","2.2","72","6.1","100","0.0"
"06","1020.9","17.0","61","2.2","69","6.2","48","0.0"
"07","1021.1","17.1","63","2.7","69","6.6","73","0.0"
"08","1021.0","17.4","61","2.7","74","6.8","73","0.0"
"09","1021.1","17.8","61","3.8","76","7.4","78","0.0"
"10","1020.6","18.4","62","2.8","68","8.0","77","0.0"
"11","1020.1","19.1","60","3.4","70","8.7","70","0.0"
"12","1019.0","19.2","60","3.5","68","9.5","82","0.0"
"13","1018.4","19.0","61","3.9","64","11.8","77","0.0"
"14","1017.6","19.5","62","2.7","70","11.6","82","0.0"
"15","1017.4","19.4","62","3.0","69","8.4","64","0.0"
"16","1017.6","19.0","67","2.6","72","8.4","64","0.0"
"17","1018.3","18.7","67","3.3","70","8.6","73","0.0"
"18","1019.0","18.5","69","2.7","70","7.6","74","0.0"
"19","1019.2","18.6","68","3.3","74","6.3","73","0.0"
"20","1019.5","18.8","66","2.3","67","7.2","64","0.0"
"21","1020.0","18.1","74","2.8","68","9.7","87","0.0"
"22","1020.1","18.2","74","2.9","80","6.0","69","0.0"
"23","1019.8","18.6","70","2.7","67","6.7","61","0.0"
"24","1019.5","18.3","72","2.5","74","7.8","68","0.0"
