circuitid,loadid,dcid,loadname,category
11247,0,11215,,
11251,1,11215,?曇?箸??#04-MP,1
11252,2,11215,?曇?箸??#04-?訾??,12
11253,3,11215,?曇?箸??#04-?箸??,11
11254,4,11215,?曇?箸??#04-蝬脰楝閮剖?,6
11255,5,11215,"?曇?箸??#04-?蔣璈?""13""",
11256,6,11215,?曇?箸??#04-頝舐?,10
11250,0,11218,,
11277,1,11218,?曇?箸??#10-MP,1
11278,2,11218,?曇?箸??#10-?訾??,12
11279,3,11218,?曇?箸??#10-?箸??,11
11280,4,11218,?曇?箸??#10-蝬脰楝閮剖?,6
11281,5,11218,"?曇?箸??#10-?蔣璈?""13""",
11282,6,11218,?曇?箸??#10-頝舐?,10
11262,0,11219,,
11270,1,11219,?曇?箸??#06-MP,1
11271,2,11219,?曇?箸??#06-?訾??,12
11272,3,11219,?曇?箸??#06-?箸??,11
11273,4,11219,?曇?箸??#06-蝬脰楝閮剖?,6
11274,5,11219,"?曇?箸??#06-?蔣璈?""13""",
11275,6,11219,?曇?箸??#06-頝舐?,10
11289,0,11221,,
11290,1,11221,?曇?箸??#1-MP,1
11291,2,11221,?曇?箸??#1-?訾??,12
11292,3,11221,?曇?箸??#1-?箸??,11
11293,4,11221,?曇?箸??#1-蝬脰楝閮剖?,6
11294,5,11221,"?曇?箸??#1-?蔣璈?""13""",
11295,6,11221,?曇?箸??#1-頝舐?,10
11303,0,11223,,
11304,1,11223,?曇?箸??#05-MP,1
11305,2,11223,?曇?箸??#05-?訾??,12
11306,3,11223,?曇?箸??#05-?啣??葫,14
11307,4,11223,?曇?箸??#05-蝬脰楝閮剖?,6
11308,5,11223,"?曇?箸??#05-?蔣璈?""13""",
11309,6,11223,?曇?箸??#05-頝舐?,10
11317,0,11225,,
11321,1,11225,?曇?箸??#07-MP,1
11322,2,11225,?曇?箸??#07-?訾??,12
11323,3,11225,?曇?箸??#07-?箸??,11
11324,4,11225,?曇?箸??#07-蝬脰楝閮剖?,6
11325,5,11225,?曇?箸??#07-頝舐?,10
11318,0,11226,,
11326,1,11226,?曇?箸??#09-MP,1
11327,2,11226,?曇?箸??#09-?訾??,12
11328,3,11226,?曇?箸??#09-?箸??,11
11329,4,11226,"?曇?箸??#09-?蔣璈?""13""",
11330,5,11226,?曇?箸??#09-頝舐?,10
11319,0,11227,,
11331,1,11227,?曇?箸??#08-MP,1
11332,2,11227,?曇?箸??#08-?訾??,12
11333,3,11227,?曇?箸??#08-?箸??,11
11334,4,11227,"?曇?箸??#08-?蔣璈?""13""",
11335,5,11227,?曇?箸??#08-頝舐?,10
11320,0,11228,,
11336,1,11228,?曇?箸??#02-MP,1
11337,2,11228,?曇?箸??#02-?訾??,12
11338,3,11228,?曇?箸??#02-?箸??,11
11339,4,11228,"?曇?箸??#02-?蔣璈?""13""",
11340,5,11228,?曇?箸??#02-頝舐?,10
11341,0,11229,,
11342,1,11229,?曇?箸??#03-MP,1
11343,2,11229,?曇?箸??#03-?訾??,12
11344,3,11229,?曇?箸??#03-?箸??,11
11345,4,11229,"?曇?箸??#03-?蔣璈?""13""",
11346,5,11229,?曇?箸??#03-頝舐?,10
