meterid,dcid,circuitid,metertype,updatetime,reporttime,v,a,hz,pf,w,va,var,whplus,varhplus
11253,11215,11253,0,00:10.2,00:02.0,219,0.34,60,0.567,42,,,105.5,
11247,11215,11247,1,00:09.9,00:02.0,,,,,,,,,
11251,11215,11251,0,00:10.1,00:02.0,219.3,0.736,60,0.662,106,,,276.03,
11256,11215,11256,0,00:09.9,00:02.0,219,0.186,60,0.897,35,,,79.03,
11254,11215,11254,0,00:10.2,00:02.0,219.3,0.101,60,0.526,10,,,24.49,
11255,11215,11255,0,00:10.1,00:02.0,219.2,0.191,60,0.341,14,,,35.96,
11252,11215,11252,0,00:10.2,00:02.0,219.2,0,60,1,0,,,0.03,
11282,11218,11282,0,43:39.5,43:28.0,218.9,0.017,60,0.5,1,,,38.63,
11278,11218,11278,0,43:39.8,43:28.0,218.7,0.972,60,0.801,170,,,513.26,
11280,11218,11280,0,43:39.7,43:28.0,219,0.117,60,0.5,12,,,24.32,
11277,11218,11277,0,43:39.8,43:28.0,219,1.535,60,0.737,247,,,792.41,
11249,11218,11250,0,43:39.4,43:28.0,12333875.2,,60,,,,,,
11279,11218,11279,0,43:39.8,43:28.0,218.9,0.363,60,0.538,42,,,108.64,
11281,11218,11281,0,43:39.8,43:28.0,218.7,0.171,60,0.324,12,,,31.2,
11275,11219,11275,0,58:12.8,57:57.0,218.8,0.016,60,0.5,1,,,38.63,
11263,11219,11262,1,58:13.3,57:58.0,,,,,,,,,
11273,11219,11273,0,58:13.1,57:58.0,219.1,0.097,60,0.526,10,,,23.96,
11270,11219,11270,0,58:13.0,57:58.0,219.1,1.584,60,0.879,304,,,614.42,
11271,11219,11271,0,58:13.0,57:58.0,219.3,1.372,60,0.92,276,,,465.53,
11272,11219,11272,0,58:13.0,57:58.0,218.8,0,60,1,0,,,0,
11274,11219,11274,0,58:13.0,57:57.0,219.3,0.175,60,0.324,12,,,30.97,
11291,11221,11291,0,57:35.6,57:21.0,219.5,0.855,60,0.844,157,,,422.69,
11294,11221,11294,0,57:35.6,57:21.0,219.5,0.167,60,0.314,11,,,27.33,
11293,11221,11293,0,57:35.6,57:21.0,219.5,0.097,60,0.473,9,,,23.33,
11289,11221,11289,1,57:35.6,57:21.0,,,,,,,,,
